customer_id,name,email,region,join_date
1,Allison Hill,donaldgarcia@example.net,North,2025-03-24
2,Leslie Johnson,robinsonwilliam@example.org,North,2024-07-10
3,Matthew Gardner,shaneramirez@example.org,East,2024-12-11
4,Melissa Peterson,jasongallagher@example.org,South,2023-07-13
5,Ian Cooper,lindsay78@example.org,South,2025-04-17
6,Juan Calderon,barbara10@example.net,South,2023-10-26
7,Victoria Wyatt,jamesshawn@example.com,North,2023-09-05
8,Daniel Adams,lynchgeorge@example.net,Central,2023-11-08
9,James Mayo,gabriellecameron@example.org,North,2023-10-26
10,Renee Morales,clarksherri@example.net,Central,2024-01-01
11,Jonathan Wilkerson,ithomas@example.org,West,2024-11-30
12,Deborah Richards,icox@example.net,North,2024-05-19
13,Anthony Rodriguez,laurahenderson@example.org,North,2024-02-24
14,Zachary Rice,frazierdanny@example.net,North,2024-12-05
15,Martin Rodriguez,amoore@example.net,South,2025-03-12
16,Valerie Gill,harrellkenneth@example.net,South,2024-05-30
17,Brittany Farmer,georgetracy@example.org,Central,2025-04-22
18,William Roman,brianhumphrey@example.org,Central,2023-07-07
19,Rose Spence,davidalvarez@example.net,North,2023-09-07
20,Shane Henderson,sarahcampos@example.net,Central,2023-10-05
21,Jennifer Powers,samuel87@example.org,South,2023-11-10
22,George Chapman,briannasmith@example.net,Central,2024-09-03
23,Austin Johnson,chad34@example.net,West,2024-05-13
24,Carlos Walls,esanchez@example.com,South,2023-09-26
25,Matthew Gomez,uowens@example.org,West,2024-10-06
26,Maria Brown,lauren13@example.org,Central,2023-09-26
27,Brenda White,ewright@example.com,East,2025-01-18
28,Krista Williams,novaksara@example.org,North,2023-09-08
29,John Hancock,martinaaron@example.com,South,2023-11-23
30,Rachel Mitchell,smoore@example.org,West,2023-06-16
31,Kimberly Adkins,williamsthomas@example.net,East,2023-09-01
32,Jordan York,larsonemma@example.org,East,2024-03-10
33,Steve Sanchez,harveyrobert@example.net,South,2024-07-14
34,Taylor Harris,john62@example.net,South,2024-09-14
35,Eugene Walton,smithchristine@example.net,East,2023-07-18
36,Daniel Baker,nicole35@example.com,North,2023-09-01
37,Joshua Turner,contrerasangela@example.net,North,2023-07-21
38,Brandy Wilson,newtoneric@example.com,West,2024-08-13
39,Grant Watts,william40@example.org,North,2024-09-05
40,Donald Smith,danagreen@example.net,East,2024-04-09
41,Jessica Smith,landryhannah@example.org,East,2024-06-28
42,Jacob Tran,tanderson@example.com,Central,2025-03-30
43,Valerie Williams,jason31@example.com,East,2024-12-27
44,Shelly Dickson,sarayoung@example.org,North,2025-01-12
45,Sierra Johnson,kimberly63@example.com,West,2023-09-02
46,Ashley Brennan,dwalker@example.com,Central,2023-12-25
47,Shelby Walker,raymondramirez@example.org,North,2024-12-22
48,Martin Ross,sheila14@example.org,West,2024-07-25
49,Deborah Rodriguez,yreed@example.com,North,2024-04-04
50,Kayla Cruz,jonathanfletcher@example.org,Central,2024-06-08
51,Kimberly Ball,michaeljones@example.net,East,2025-04-16
52,Erik Charles,william65@example.com,Central,2024-10-24
53,Cameron Fisher,lbyrd@example.net,East,2024-07-17
54,Joshua Smith,jason99@example.net,Central,2024-01-07
55,Jeremy Lewis,yleon@example.net,South,2023-09-10
56,Diane Beck,clarence34@example.org,North,2025-01-17
57,Alexander Sanchez,xcarr@example.org,North,2024-04-19
58,Mark Lee,psnyder@example.org,South,2024-09-22
59,Stephanie Dalton,osbornejeffery@example.net,East,2024-06-07
60,Justin Lowery,bryantlaurie@example.net,North,2024-06-17
61,Linda Dodson DVM,jrivas@example.com,South,2025-03-28
62,Scott Cole,maryramirez@example.net,North,2024-05-12
63,Denise Jones,jimmy55@example.net,West,2023-07-03
64,David Benson,calebrussell@example.net,East,2024-04-27
65,Daniel Fisher,gateskathy@example.com,West,2024-05-06
66,Guy Molina,vmedina@example.net,East,2025-01-12
67,Connie Robinson,ytucker@example.com,South,2024-10-02
